,loan_id,Borrower_id,user_id,Bank,Product,Status,Housing_Type,Monthly_Income,Gender,employment_status,highest_education,work experience,no_of_dependents,Marital_status,status_y,Age2,Disbursement_Code,current_zip_code,city_name,state_name,MOB,c_bal,loan_amount,funded_emi_amount,EMI_Income_ratio,emi_day_date,NPA_flag,CIBIL Score,NoOfAccounts,NoOfActiveAccounts,NoOfWriteOffs,TotalPastDue,MostSevereStatusWithIn24Months,SingleHighestCredit,SingleHighestSanctionAmount,TotalHighCredit,AverageOpenBalance,SingleHighestBalance,NoOfPastDueAccounts,NoOfZeroBalanceAccounts,RecentAccount,OldestAccount,TotalBalanceAmount,TotalSanctionAmount,TotalCreditLimit,TotalMonthlyPaymentAmount,qc_atm_charges,qc_atm_credit,qc_atm_debit,qc_atm_insufficient_fund_fees,qc_cash_credit_branch,qc_cash_debit_branch,qc_cash_deposit,qc_cash_deposit_self,qc_cheque_bounce_inward,qc_cheque_bounce_inward_charges,qc_cheque_bounced,qc_cheque_bounced__inward,qc_cheque_bounced__outward,qc_cheque_credit,qc_cheque_debit,qc_cheque_withdrawal_self,qc_cheque_withdrawl_self,qc_credit,qc_debit,qc_debit_card_swipe,qc_emisi_bounced,qc_emisi_debit,qc_fees,qc_fees_bank_charges,qc_fees_name_of_fees,qc_gst,qc_interest_received,qc_neftimpsrtgs_credit,qc_neftimpsrtgs_debit,qc_netmobile_banking_credit,qc_netmobile_banking_debit,qc_online_credit,qc_online_debit,qc_other,qc_other_charges,qc_other_penalty_charges,qc_pos_credit,qc_pos_debit,qc_pos_insufficient_fund_fees,qc_sms_charges,qc_transaction_reversal,qv_atm_charges,qv_atm_credit,qv_atm_debit,qv_cash_credit_branch,qv_cash_debit_branch,qv_cash_deposit,qv_cash_deposit_amount,qv_cheque_bounce_inward,qv_cheque_bounce_inward_charges,qv_cheque_bounced,qv_cheque_bounced__inward,qv_cheque_bounced__outward,qv_cheque_credit,qv_cheque_debit,qv_cheque_withdrawal_self,qv_cheque_withdrawl_self,qv_credit,qv_debit,qv_debit_card_swipe,qv_emisi_bounced,qv_emisi_debit,qv_fees,qv_fees_bank_charges,qv_fees_name_of_fees,qv_gst,qv_interest_received,qv_neftimpsrtgs_credit,qv_neftimpsrtgs_debit,qv_netmobile_banking_credit,qv_netmobile_banking_debit,qv_online_credit,qv_online_debit,qv_other,qv_other_charges,qv_other_penalty_charges,qv_pos_credit,qv_pos_debit,qv_sms_charges,qv_transaction_reversal,qo_avg_balance,qo_avg_balance_average,qo_avg_balance_weighted_average,qo_credit_card_payment,qo_date_of_maximum_balance,qo_date_of_minimum_balance,qo_date_of_salary,qo_electricity_bill_payment,qo_emi,qo_gaselectricity_bill_payment,qo_interest_charged,qo_interestcashback_received,qo_lic__mutual_fund,qo_lic__mutual_fund__sip,qo_loan_company,qo_loan_company_name_of_the_company,qo_loan_disbursement,qo_max_balance,qo_max_credit_amount,qo_max_debit_amount,qo_min_balance,qo_mobile_bill_payment,qo_mobile_recharge_amount,qo_rent,qo_salary,qo_salary_credit,qo_tax_payment,qavg_atm_charges,qavg_atm_credit,qavg_atm_debit,qavg_cash_credit_branch,qavg_cash_debit_branch,qavg_cash_deposit,qavg_cheque_bounce_inward,qavg_cheque_bounce_inward_charges,qavg_cheque_bounced,qavg_cheque_bounced__inward,qavg_cheque_bounced__outward,qavg_cheque_credit,qavg_cheque_debit,qavg_cheque_withdrawal_self,qavg_cheque_withdrawl_self,qavg_credit,qavg_debit,qavg_debit_card_swipe,qavg_emisi_bounced,qavg_emisi_debit,qavg_fees,qavg_fees_bank_charges,qavg_fees_name_of_fees,qavg_gst,qavg_interest_received,qavg_neftimpsrtgs_credit,qavg_neftimpsrtgs_debit,qavg_netmobile_banking_credit,qavg_netmobile_banking_debit,qavg_online_credit,qavg_online_debit,qavg_other,qavg_other_charges,qavg_other_penalty_charges,qavg_pos_credit,qavg_pos_debit,qavg_sms_charges,qavg_transaction_reversal
0,3204,B-99996,5e62375094e84205302f1a22,YES BANK,Mumbai,FINAL LOAN OFFER ACCEPTED,PARENTAL,19000,MALE,SALARIED,Plus 2 or equivalent,6,3+,SINGLE,CLOSED,26,243,400603,Thane,Maharashtra,14,3.64E-12,40000,2747,0.144578947,1,0,755,28,8,0,0,Non-Delnqt,18623,38500,18623,5927.88,19492,0,3,Credit Card on 31-01-2020,Personal Loan on 24-05-2018,47423,93769,35000,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,51,100,1,0,0,2,0,2,0,0,3,9,39,75,0,0,0,0,0,0,0,0,0,0,0,0,14300,0,0,19800,19800,0,0,0,0,0,0,0,0,0,126042.44,131564.48,1660,0,0,59,0,59,0,0,4560,4930.82,57723.11,70500.19,0,0,0,0,0,0,0,0,0,6495.93,4053.51,2442.42,31276.77,0,0,0,0,0,0,0,10.33,0,0,1660,0,0,38250.77,37640,33754.63,119.32,0,0,0,39083,39083,0,0,0,2042.857143,0,0,6600,0,0,0,0,0,0,0,0,0,2471.420392,1315.6448,1660,0,0,29.5,0,29.5,0,0,1520,547.8688889,1480.079744,940.0025333,0,0,0,0,0,0,0,0,0
1,3217,B-99972,5e6219a994e842665156cfb2,BANK OF BARODA,Mumbai,FINAL LOAN OFFER ACCEPTED,OWNED,37000,MALE,SALARIED,Plus 2 or equivalent,10,1,MARRIED,FUNDED,31,243,421306,Thane,Maharashtra,14,30210,125000,6042,0.163297297,10,1,609,12,8,0,0,60+,0,54000,0,970.13,3429,0,4,Consumer Loan on 23-09-2019,Consumer Loan on 15-05-2017,7761,180395,0,10665,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,132,21,0,0,1,0,1,0,0,23,3,7,59,0,0,0,0,0,0,0,0,0,0,0,0,233959.6,0,0,0,0,0,0,0,0,0,0,0,0,0,525437.71,531107.6,6975,0,0,177,0,177,0,0,303140.05,20420,109021,258076,0,0,0,0,0,0,0,0,0,76957.67,36226.16,40731.51,0,0,0,0,0,0,0,0,561.66,0,0,100,0,0,184357.33,150000,142715,60.7,0,0,0,36000,36000,0,0,0,10172.15652,0,0,0,0,0,0,0,0,0,0,0,0,14201.01919,4023.542424,332.1428571,0,0,177,0,177,0,0,13180.00217,6806.666667,15574.42857,4374.169492,0,0,0,0,0,0,0,0,0
2,3236,B-99935,5e61f8a194e8426a6433f1e2,CITIZEN CREDIT COOPERATIVE BANK LIMITED,Mumbai,FINAL LOAN OFFER ACCEPTED,PARENTAL,20000,FEMALE,SALARIED,Post Graduate(P.G. Diploma),6,0,SINGLE,FUNDED,29,243,401305,Thane,Maharashtra,14,9684,35000,2421,0.12105,1,1,755,5,5,0,0,Non-Delnqt,0,21500,0,5670.4,21500,0,1,Consumer Loan on 22-01-2020,Consumer Loan on 26-02-2019,28352,49913,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,39,0,0,0,9,0,9,0,0,4,3,0,0,0,0,0,0,0,0,5,0,0,0,0,1000,53500,0,0,0,0,0,0,0,0,0,0,0,0,0,47854.75,61958.16,0,0,0,60.18,0,60.18,0,0,18851,683.71,0,0,0,0,0,0,0,0,737.27,0,0,25178.8,15537.5,9641.3,0,0,0,0,0,0,0,0,3.75,0,0,3961,0,0,47746.87,42000,22000,95.94,0,0,0,0,0,0,0,1000,2972.222222,0,0,0,0,0,0,0,0,0,0,0,0,4350.431818,1588.670769,0,0,0,6.686666667,0,6.686666667,0,0,4712.75,227.9033333,0,0,0,0,0,0,0,0,147.454,0,0
3,3210,B-99887,5e61212f94e84276465275e2,BANK OF INDIA,Mumbai,FINAL LOAN OFFER ACCEPTED,PARENTAL,41666.66667,MALE,SELF_EMPLOYED,Plus 2 or equivalent,20,3+,MARRIED,FUNDED,44,243,421306,Thane,Maharashtra,14,56817,125000,6313,0.151512,5,1,741,3,2,0,0,Non-Delnqt,0,59500,0,4580,9160,0,1,Consumer Loan on 30-11-2019,Consumer Loan on 09-06-2015,9160,70492,0,0,0,0,27,0,0,0,1,1,0,0,0,0,0,0,0,0,1,12,51,9,0,0,1,0,1,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,107806.8,0,0,500,500,0,0,0,0,0,0,0,0,100000,225558.75,220243.44,4123.75,0,0,17.7,0,17.7,0,0,157966,0,67000,0,0,0,0,0,0,0,0,0,0,82491.04,47474.88,35016.16,0,0,0,0,0,0,0,0,92.75,0,0,1963,0,0,179800.85,135574,118023.6,2761.49,0,0,0,0,0,0,0,0,3992.844444,0,0,500,0,0,0,0,0,0,0,0,100000,18796.5625,4318.498824,458.1944444,0,0,17.7,0,17.7,0,0,39491.5,0,13400,0,0,0,0,0,0,0,0,0,0
4,3241,B-99839,5e60cf2594e84258ae6115f2,ICICI BANK LIMITED,Mumbai,FINAL LOAN OFFER ACCEPTED,RENTAL,19500,FEMALE,SALARIED,"Three Year degree (BSc, BCom, BA , BBA, BCA etc.)",3,0,SINGLE,FUNDED,25,243,400709,Thane,Maharashtra,14,28568,45000,3571,0.183128205,1,1,625,6,2,0,980,01+,23082,8000,23082,13724,21692,1,0,Personal Loan on 05-10-2019,Consumer Loan on 22-08-2017,27448,8000,20000,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,105,6,0,0,0,0,0,0,0,32,47,8,27,0,0,0,0,0,0,0,0,0,0,0,0,33200,0,0,0,0,0,0,0,0,0,0,0,0,0,158344.33,169477.72,8745.81,0,0,0,0,0,0,0,103203,74037.66,17669,33979.37,0,0,0,0,0,0,0,0,0,17180.91,8792.87,8388.04,6639.57,0,0,0,0,0,0,0,15.33,0,0,0,0,0,68347.95,52457,42500,-122.96,0,1323,0,19108,19108,0,0,0,4742.857143,0,0,0,0,0,0,0,0,0,0,0,0,3598.734773,1614.073524,1457.635,0,0,0,0,0,0,0,3225.09375,1575.269362,2208.625,1258.495185,0,0,0,0,0,0,0,0,0
5,3206,B-99813,5e60b17a94e84220fa53bde3,INDIAN BANK,Chennai,FINAL LOAN OFFER ACCEPTED,OWNED,16000,MALE,SALARIED,"Three Year degree (BSc, BCom, BA , BBA, BCA etc.)",4,0,SINGLE,FUNDED,26,243,600011,Chennai,Tamil Nadu,14,18279,35000,2581,0.1613125,1,1,755,4,2,0,0,Non-Delnqt,0,30000,0,10470,18673,0,0,Personal Loan on 31-01-2020,Personal Loan on 18-07-2019,20940,32200,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,133,0,0,0,8,0,8,0,0,31,47,3,3,0,0,0,0,0,0,47,0,0,0,0,0,34700,0,0,0,0,0,0,0,0,0,0,0,0,0,150782.13,164369.28,0,0,0,120.45,0,120.45,0,0,99767.93,83180.91,6000,3650,0,0,0,0,0,0,33589.72,0,0,16128.38,8767.77,7360.61,0,0,0,0,0,0,0,9.2,33.2,0,0,2969,0,0,58464,55900,26700,14.27,0,0,0,16900,16900,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0,0,3866.208462,1235.859248,0,0,0,15.05625,0,15.05625,0,0,3218.320323,1769.806596,2000,1216.666667,0,0,0,0,0,0,714.6748936,0,0
6,3184,B-99799,5e60a48794e8423be6358063,ICICI BANK LIMITED,Mumbai,FINAL LOAN OFFER ACCEPTED,RENTAL,17000,MALE,SALARIED,"Three Year degree (BSc, BCom, BA , BBA, BCA etc.)",2,1,SINGLE,FUNDED,24,243,400079,Mumbai,Maharashtra,14,29440,50000,3680,0.216470588,5,1,755,7,3,0,0,Non-Delnqt,0,10000,0,6149.67,8284,0,0,Personal Loan on 07-01-2020,Consumer Loan on 25-04-2018,18449,26055,0,1423,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,53,4,0,0,2,0,2,0,0,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,112891,114281.02,1326,0,0,34.51,0,34.51,0,0,62536,79856.68,0,0,0,0,0,0,0,0,0,0,0,22095.57,12776.66,9318.91,0,0,0,0,0,0,0,0,1693,0,0,0,0,0,57664.67,29606,40000,4.53,0,199,0,16606,16606,0,0,0,1233.333333,0,0,0,0,0,0,0,0,0,0,0,0,3420.939394,2156.24566,331.5,0,0,17.255,0,17.255,0,0,2605.666667,3194.2672,0,0,0,0,0,0,0,0,0,0,0
7,614,B-9977,5c78dbed94e84267ac2e9222,KOTAK MAHINDRA BANK LIMITED,Mumbai,APPLICATION CLOSED,OWNED,12000,MALE,SALARIED,Below 10th std.,16,3+,MARRIED,CLOSED,36,231,401209,Thane,Maharashtra,26,-0.001184282,35000,2793,0.23275,5,0,763,,,,,,,,,,,,,,,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,10410,0,10410,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,36272.34,36294.7,0,0,0,0,0,0,0,0,2000,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,221.3,0,0,17517.23,17517.23,0,0,0,0,0,34100,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,6045.39,3299.518182,0,0,0,0,0,0,0,0,2000,0,0,320,0,0,0,0,0,0,0,0,0
8,646,B-9975,5c7e23db94e84241e4529932,HDFC BANK,Mumbai,APPLICATION CLOSED,PARENTAL,25000,MALE,SALARIED,Post Graduate(P.G. Diploma),8,0,SINGLE,CLOSED,30,232,400018,Mumbai,Maharashtra,25,-0.001262329,80000,4310,0.1724,15,0,755,,,,,,,,,,,,,,,,,,,0,0,36,1,0,0,0,0,0,0,0,0,0,0,1,0,3,42,113,0,1,0,53038,0,53038,0,0,9,25,23,8,0,0,0,0,0,0,37,14000,0,0,0,0,43200,0,0,0,0,0,0,0,0,0,0,14000,0,23500,134461,136147.14,0,500,0,2912,0,2912,0,0,3676,66522.7,53733,3601,0,0,0,0,0,0,13139.14,0,0,0,0,0,0,164,0,0,14513,1002,14513,0,55.97,0,0,50137.75,50137.75,0,0,0,0,0,39000,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,14000,0,7833.333333,3201.452381,1204.841947,0,500,0,0.054904031,0,0.054904031,0,0,408.4444444,2660.908,2336.217391,450.125,0,0,0,0,0,0,355.1118919,0,0
9,3166,B-99714,5e5f9c2f94e84216010fd617,ICICI BANK LIMITED,Mumbai,APPLICATION INCOMPLETE,OWNED,13000,FEMALE,SALARIED,Plus 2 or equivalent,4,0,SINGLE,FUNDED,23,243,400050,Mumbai,Maharashtra,14,3835,55000,3835,0.295,1,0,720,3,2,0,0,01+,21440,12499,21440,9174,18348,0,1,Consumer Loan on 10-05-2019,Credit Card on 05-02-2019,18348,12499,18000,0,0,0,25,0,0,0,4,4,0,0,0,0,0,0,0,0,0,37,121,6,0,0,1,0,1,0,0,6,51,11,21,0,0,0,0,0,0,0,0,0,0,0,0,99388.8,0,0,77400,77400,0,0,0,0,0,0,0,0,0,273723.75,263122.02,9986,0,0,29.5,0,29.5,0,0,132150,80955.72,24400,58835,0,0,0,0,0,0,0,0,0,113580.78,63641.16,49939.62,2560,0,0,0,0,0,0,0,773.75,0,0,0,0,0,219036.28,156000,40500,614.97,0,1263,0,13000,13000,0,0,0,3975.552,0,0,19350,0,0,0,0,0,0,0,0,0,7397.939189,2174.562149,1664.333333,0,0,29.5,0,29.5,0,0,22025,1587.367059,2218.181818,2801.666667,0,0,0,0,0,0,0,0,0
